Number,Code Name,Description,Citations,URLs
351,Sensory code,The Photoreceptor Sensory Code,"Felsten, G. and G. S. Wasserman (1979). “The photoreceptor sensory code for pattern identification during visual masking.” Sens Processes 3(3): 230-239.","[""https://pubmed.ncbi.nlm.nih.gov/555552/""]"
352,SeqCode,The Nomenclatural Code,"Hedlund, B. P., M. Chuvochina, P. Hugenholtz, K. T. Konstantinidis, A. E. Murray, M. Palmer, D. H. Parks, A. J. Probst, A. L. Reysenbach, R. L. Rodriguez, R. Rossello-Mora, I. C. Sutcliffe, S. N. Venter and W. B. Whitman (2022). “SeqCode: a nomenclatural code for prokaryotes described from sequence data.” Nat Microbiol 7(10): 1702-1708.","[""https://www.sciencedirect.com/science/article/abs/pii/0022283687902415""]"
353,Sequence codes,The Nucleotide Sequence Codes,"Trifonov, E. N. (1987). “Translation framing code and frame-monitoring mechanism as suggested by the analysis of mRNA and 16 S rRNA nucleotide sequences.” Journal of Molecular Biology 194(4): 643-652. Trifonov, E. N. (1988). “Codes of nucleotide sequences.” Mathematical Biosciences 90(1): 507-517.","[""https://www.sciencedirect.com/science/article/abs/pii/0022283687902415"", ""https://www.sciencedirect.com/science/article/abs/pii/0025556488900806""]"
354,Serin code,The Serin Code,"Su, P., Yang, Y., & Zheng, H. (2026). The ""serine code"" of metabolic reprogramming: multidimensional roles of the serine synthesis pathway in tumors and novel breakthroughs for targeted therapy. Front Immunol, 17, 1779543.","[""https://doi.org/10.3389/fimmu.2026.1779543"", ""https://doi.org/10.3389/fnsyn.2016.00034""]"
355,Serotonin code,The Serotonin Code,"Tchenio, A., Valentinova, K., & Mameli, M. (2016). Can the Lateral Habenula Crack the Serotonin Code? [Mini Review]. Front Synaptic Neurosci, Volume 8 - 2016. Harkin, E. F., Grossman, C. D., Cohen, J. Y., Béïque, J.-C., & Naud, R. (2023). Serotonin predictively encodes value. bioRxiv, 2023.2009.2019.558526. Harkin, E. F., Béïque, J.-C., & Naud, R. (2025). Extracting Value Coding Features from Individual Serotonin Neurons. bioRxiv, 2025.2007.2028.667134. Harkin, E. F., Grossman, C. D., Cohen, J. Y., Béïque, J.-C., & Naud, R. (2025). A prospective code for value in the serotonin system. Nature, 641(8064), 952-959.","[""https://doi.org/10.1038/s41586-025-08731-7"", ""https://doi.org/10.1101/2023.09.19.558526"", ""https://doi.org/10.1101/2025.07.28.667134"", ""https://doi.org/10.3389/fnsyn.2016.00034"", ""https://www.pnas.org/doi/10.1073/pnas.0710343105""]"
356,Signal integration code,The Signal Integration Codes,"Kim, J. H., J. M. Lee, H. J. Nam, H. J. Choi, J. W. Yang, J. S. Lee, M. H. Kim, S. I. Kim, C. H. Chung, K. I. Kim and S. H. Baek (2007). “SUMOylation of pontin chromatin-remodeling complex reveals a signal integration code in prostate cancer cells.” Proc Natl Acad Sci U S A 104(52): 20793-20798.","[""https://www.pnas.org/doi/10.1073/pnas.0710343105"", ""https://www.sciencedirect.com/science/article/abs/pii/S0303264799000787""]"
357,Signal transduction code,The Signal Transduction Code,"Prank, K., F. Gabbiani and G. Brabant (2000). ""Coding efficiency and information rates in transmembrane signaling."" Biosystems 55(1): 15-22. Barbieri, M. (2003). The organic codes. An introduction to semantic biology., Cambridge University Press. Bruni, L. E. (2007). Cellular Semiotics And Signal Transduction. Introduction to Biosemiotics: The New Biological Synthesis. M. Barbieri. Dordrecht, Springer Netherlands: 365-408. Faria, M. (2008). Signal Transduction Codes and Cell Fate. The Codes of Life: The Rules of Macroevolution. M. Barbieri and J. Hoffmeyer. Dordrecht, Springer Netherlands: 265-283. Bengtsson, F. and H. Jörntell (2009). “Sensory transmission in cerebellar granule cells relies on similarly coded mossy fiber inputs.” Proc Natl Acad Sci U S A 106(7): 2389-2394. Maraldi, N. M. (2019). ""In search of a primitive signaling code."" Biosystems 183: 103984.","[""https://link.springer.com/chapter/10.1007/1-4020-4814-9_15"", ""https://link.springer.com/chapter/10.1007/978-1-4020-6340-4_12"", ""https://www.cambridge.org/core/books/organic-codes/7015316BD6B4F5F466CAC59FD31CD7F3"", ""https://www.pnas.org/doi/10.1073/pnas.0808428106"", ""https://www.sciencedirect.com/science/article/abs/pii/S0303264719301431"", ""https://www.sciencedirect.com/science/article/abs/pii/S0303264799000787""]"
358,Sirtuin code,The Sirtuin Code,"Zhao, Y., Han, Y., Wang, B., & Wang, T. (2025). Sirtuins in Osteosarcoma: Cracking the Code and Opening Up New Treatment Options. Current Pharmaceutical Biotechnology.","[""https://doi.org/10.2174/0113892010374421250419163509"", ""https://nyaspubs.onlinelibrary.wiley.com/doi/abs/10.1196/annals.1390.020""]"
359,Social information code,"The Neural, Social Information Code","Knutson, B. and G. E. Wimmer (2007). ""Splitting the difference: how does the brain code reward episodes?"" Ann N Y Acad Sci 1104: 54-69. Kahnt, T., J. Heinzle, S. Q. Park and J. D. Haynes (2010). “The neural code of reward anticipation in human orbitofrontal cortex.” Proc Natl Acad Sci U S A 107(13): 6010-6015. Hale, L. A., E. S. Lee, A. K. Pantazis, N. Chronis and S. H. Chalasani (2016). ""Altered Sensory Code Drives Juvenile-to-Adult Behavioral Maturation in Caenorhabditis elegans."" eNeuro 3(6). Ponsot, E., J. J. Burred, P. Belin and J. J. Aucouturier (2018). “Cracking the social code of speech prosody using reverse correlation.” Proc Natl Acad Sci U S A 115(15): 3972-3977. Dabney, W., Z. Kurth-Nelson, N. Uchida, C. K. Starkweather, D. Hassabis, R. Munos and M. Botvinick (2020). ""A distributional code for value in dopamine-based reinforcement learning."" Nature 577(7792): 671-675. Salazar, V. and A. Silva (2022). “Neural processing: Cracking the code to extract relevant social information.” Curr Biol 32(1): R32-r34.","[""https://academic.oup.com/chemse/article-lookup/doi/10.1093/chemse/bjq021"", ""https://nyaspubs.onlinelibrary.wiley.com/doi/abs/10.1196/annals.1390.020"", ""https://www.cell.com/current-biology/fulltext/S0960-9822(21)01535-9"", ""https://www.eneuro.org/content/3/6/ENEURO.0175-16.2016"", ""https://www.nature.com/articles/s41586-019-1924-6"", ""https://www.pnas.org/doi/10.1073/pnas.0912838107"", ""https://www.pnas.org/doi/abs/10.1073/pnas.1716090115""]"
360,Socio-chemical codes,The Socio-Chemical Codes,"Mardon, J., S. M. Saunders, M. J. Anderson, C. Couchoux and F. Bonadonna (2010). “Species, gender, and identity: cracking petrels’ sociochemical code.” Chem Senses 35(4): 309-321.","[""https://academic.oup.com/chemse/article-lookup/doi/10.1093/chemse/bjq021"", ""https://www.sciencedirect.com/science/article/abs/pii/S0143416020300117""]"
361,Sodium/calcium code,The Sodium/Calcium Channel Gating Code,"Lariccia, V., S. Piccirillo, A. Preziuso, S. Amoroso and S. Magi (2020). “Cracking the code of sodium/calcium exchanger (NCX) gating: Old and new complexities surfacing from the deep web of secondary regulations.” Cell Calcium 87: 102169.","[""https://brill.com/view/journals/sv/6/2/article-p81_1.xml"", ""https://www.sciencedirect.com/science/article/abs/pii/S0143416020300117""]"
362,Spatial code,"The Neuronal, Spatial Codes","Bertera, J. H. (1992). ""Spatial code interference on directional responses."" Spat Vis 6(2): 81-88. O’Keefe, J. and N. Burgess (1996). “Geometric determinants of the place fields of hippocampal neurons.” Nature 381(6581): 425-428. Hafting, T., M. Fyhn, S. Molden, M. B. Moser and E. I. Moser (2005). “Microstructure of a spatial map in the entorhinal cortex.” Nature 436(7052): 801-806. O’Keefe, J. and N. Burgess (2005). “Dual phase and rate coding in hippocampal place cells: theoretical significance and relationship to entorhinal grid cells.” Hippocampus 15(7): 853-866. Brandon, M. P. and M. E. Hasselmo (2009). “Sources of the spatial code within the hippocampus.” F1000 Biol Rep 1: 3.","[""https://brill.com/view/journals/sv/6/2/article-p81_1.xml"", ""https://facultyopinions.com/prime/reports/pubmed/20948656"", ""https://onlinelibrary.wiley.com/doi/10.1002/hipo.20115"", ""https://www.nature.com/articles/381425a0"", ""https://www.nature.com/articles/nature03721""]"
363,Speech code,The Speech Code,"Liberman, A. M., Cooper, F. S., Shankweiler, D. P., & Studdert-Kennedy, M. (1967). Perception of the speech code. Psychological Review, 74(6), 431–461. Kuhl, P. K. (2004). “Early language acquisition: cracking the speech code.” Nature Reviews Neuroscience 5(11): 831-843.","[""https://doi.org/10.1037/h0020279"", ""https://www.nature.com/articles/nrn1533""]"
364,Sperm code,The Spermatogenesis Code,"Zhang, Y., J. Shi, M. Rassoulzadegan, F. Tuorto and Q. Chen (2019). ""Sperm RNA code programmes the metabolic health of offspring."" Nat Rev Endocrinol 15(8): 489-498. Zhang, Y. and Q. Chen (2020). ""Human sperm RNA code senses dietary sugar."" Nat Rev Endocrinol 16(4): 200-201. Zhao, Z., Yang, T., & Li, F. (2024). Sperm RNA code in spermatogenesis and male infertility. Reproductive BioMedicine Online, 49(6), 104375. Hong, Z., Huang, S., Li, L., Gao, Y., Ma, B., Fan, Q., . . . Wang, M. (2025). Cracking the code: how piRNA pathway shapes spermatogenesis and combats male infertility [Review]. Front Cell Dev Biol, Volume 13 - 2025. Osumi, N. (2026). When sperm age, their RNA code hits a cliff. Embo j, 45(8), 2418-2419.","[""https://doi.org/10.1016/j.rbmo.2024.104375"", ""https://doi.org/10.1038/s44318-026-00743-x"", ""https://doi.org/10.3389/fcell.2025.1657744"", ""https://www.frontiersin.org/articles/10.3389/neuro.01.002.2009/full"", ""https://www.nature.com/articles/s41574-019-0226-2"", ""https://www.nature.com/articles/s41574-020-0331-2""]"
365,Spike code,The Neuronal Spike-Rate Code,"Eyherabide, H. G., A. Rokem, A. V. Herz and I. Samengo (2009). “Bursts generate a non-reducible spike-pattern code.” Front Neurosci 3(1): 8-14.","[""https://www.frontiersin.org/articles/10.3389/neuro.01.002.2009/full""]"
366,Spindle code,The Chromosome Spindle Code,"Kiyomitsu, T., & Cheeseman, I. M. (2012). Chromosome- and spindle-pole-derived signals generate an intrinsic code for spindle position and orientation. Nat Cell Biol, 14(3), 311-317.","[""https://doi.org/10.1038/ncb2440"", ""https://www.embopress.org/doi/abs/10.1002/j.1460-2075.1989.tb03576.x""]"
367,Splicing code,The Splicing Codes,"Manet, E., H. Gruffat, M. C. Trescol-Biemont, N. Moreno, P. Chambard, J. F. Giot and A. Sergeant (1989). ""Epstein-Barr virus bicistronic mRNAs generated by facultative splicing code for two transcriptional trans-activators."" Embo j 8(6): 1819-1826. Agorio, A., C. Chalar, S. Cardozo and G. Salinas (2003). ""Alternative mRNAs arising from trans-splicing code for mitochondrial and cytosolic variants of Echinococcus granulosus thioredoxin Glutathione reductase."" J Biol Chem 278(15): 12920-12928. Barbieri, M. (2003). The organic codes. An introduction to semantic biology., Cambridge University Press. Fu, X. D. (2004). “Towards a splicing code.” Cell 119(6): 736-738. Grabowski, P. J. (2004). “A molecular code for splicing silencing: configurations of guanosine-rich motifs.” Biochem Soc Trans 32(Pt 6): 924-927. Boucard, A. A., A. A. Chubykin, D. Comoletti, P. Taylor and T. C. Südhof (2005). ""A splice code for trans-synaptic cell adhesion mediated by binding of neuroligin 1 to alpha- and beta-neurexins."" Neuron 48(2): 229-236. Han, K., G. Yeo, P. An, C. B. Burge and P. J. Grabowski (2005). “A combinatorial code for splicing silencing: UAGG and GGGG motifs.” PloS Biol 3(5): e158. Matlin, A. J., F. Clark and C. W. J. Smith (2005). “Understanding alternative splicing: towards a cellular code.” Nature Reviews Molecular Cell Biology 6(5): 386-398. Wang, G. S. and T. A. Cooper (2007). “Splicing in disease: disruption of the splicing code and the decoding machinery.” Nat Rev Genet 8(10): 749-761. Wang, Z. and C. B. Burge (2008). “Splicing regulation: from a parts list of regulatory elements to an integrated splicing code.” Rna 14(5): 802-813.","[""https://academic.oup.com/mend/article/13/11/1823/2747729"", ""https://journals.plos.org/plosbiology/article?id=10.1371/journal.pbio.0030158"", ""https://linkinghub.elsevier.com/retrieve/pii/S0092867404011079"", ""https://portlandpress.com/biochemsoctrans/article-abstract/32/6/924/64607/A-molecular-code-for-splicing-silencing"", ""https://rnajournal.cshlp.org/content/14/5/802.long"", ""https://www.cambridge.org/core/books/organic-codes/7015316BD6B4F5F466CAC59FD31CD7F3"", ""https://www.embopress.org/doi/abs/10.1002/j.1460-2075.1989.tb03576.x"", ""https://www.jbc.org/article/S0021-9258(19)64664-8/fulltext"", ""https://www.nature.com/articles/nrg2164"", ""https://www.nature.com/articles/nrm1645/""]"
368,SPM code,The Specialized Pro- Resolving Mediators Code SEE also Inflammation Codes,"Serhan, C. N., Chiang, N., & Dalli, J. (2015). The resolution code of acute inflammation: Novel pro- resolving lipid mediators in resolution. Semin Immunol, 27(3), 200-215.","[""https://doi.org/10.1016/j.smim.2015.03.004"", ""https://www.sciencedirect.com/science/article/abs/pii/S0304419X10000508""]"
369,Stem cell code,The (Cancer) Stem Cell Code,"Richard, V. and M. R. Pillai (2010). “The stem cell code in oral epithelial tumorigenesis: ‘the cancer stem cell shift hypothesis’.” Biochim Biophys Acta 1806(2): 146-162. Chaker, Z., Makarouni, E., & Doetsch, F. (2024). The Organism as the Niche: Physiological States Crack the Code of Adult Neural Stem Cell Heterogeneity. Annu Rev Cell Dev Biol, 40(Volume 40, 2024), 381- 406.","[""https://doi.org/10.1016/j.biosystems.2024.105285"", ""https://doi.org/10.1146/annurev-cellbio-120320-040213"", ""https://www.sciencedirect.com/science/article/abs/pii/S0304419X10000508""]"
370,Story code,The Innate Story Code,"Goodwyn, E. (2024). The innate story code. Biosystems, 244, 105285.","[""https://doi.org/10.1016/j.biosystems.2024.105285"", ""https://doi.org/10.1038/s41586-024-08241-y""]"
371,Stress code,The Neural Stress Code,"Xia, F., Fascianelli, V., Vishwakarma, N., Ghinger, F. G., Kwon, A., Gergues, M. M., . . . Kheirbek, M. A. (2025). Understanding the neural code of stress to control anhedonia. Nature, 637(8046), 654-662.","[""https://doi.org/10.1016/j.it.2004.11.014"", ""https://doi.org/10.1038/s41586-024-08241-y""]"
372,Stromal code,The Stromal Address Code,"Parsonage, G., Filer, A. D., Haworth, O., Nash, G. B., Rainger, G. E., Salmon, M., & Buckley, C. D. (2005). A stromal address code defined by fibroblasts. Trends in Immunology, 26(3), 150-156.","[""https://doi.org/10.1016/j.it.2004.11.014"", ""https://www.pnas.org/doi/10.1073/pnas.1430550100""]"
373,Substrate specificity code,The Substrate Specificity Code,"Schneider, K., K. Hövel, K. Witzel, B. Hamberger, D. Schomburg, E. Kombrink and H. P. Stuible (2003). “The substrate specificity-determining amino acid code of 4-coumarate:CoA ligase.” Proc Natl Acad Sci U S A 100(14): 8601-8606.","[""https://journals.lww.com/international-journal-of-surgery/fulltext/2025/12000/succinylation___encoded_metabolic_codes__cracking.63.aspx"", ""https://www.pnas.org/doi/10.1073/pnas.1430550100""]"
374,Succinylation code,The Succinylation Codes,"Cong, Y., Zhang, X., Wang, Z., Cui, Z., Li, C., Han, Y., . . . Wu, G. (2025). Succinylation – encoded metabolic codes: cracking the molecular logic of cellular adaptation. International Journal of Surgery, 111(12).","[""https://journals.lww.com/international-journal-of-surgery/fulltext/2025/12000/succinylation___encoded_metabolic_codes__cracking.63.aspx"", ""https://link.springer.com/article/10.1007/s001140050687""]"
375,Sugar code,The Sugar Code,"Gabius, H. J. (2000). “Biological information transfer beyond the genetic code: the sugar code.” Naturwissenschaften 87(3): 108-121. Gabius, H.-J., S. André, H. Kaltner and H.-C. Siebert (2002). “The sugar code: functional lectinomics.” Biochimica et Biophysica Acta (BBA) – General Subjects 1572(2): 165-177. Gabius, H. J. (2004). ""The sugar code in drug delivery."" Adv Drug Deliv Rev 56(4): 421-424. Gabius, H. J., H. C. Siebert, S. André, J. Jiménez-Barbero and H. Rüdiger (2004). ""Chemical biology of the sugar code."" Chembiochem 5(6): 740-764.","[""https://chemistry-europe.onlinelibrary.wiley.com/doi/10.1002/cbic.200300753"", ""https://link.springer.com/article/10.1007/s001140050687"", ""https://www.sciencedirect.com/science/article/abs/pii/S0169409X03002278"", ""https://www.sciencedirect.com/science/article/abs/pii/S0304416502003069""]"
376,Sulfation code,The Sulfation Code,"Habuchi, H., O. Habuchi and K. Kimata (2004). “Sulfation pattern in glycosaminoglycan: does it have a code?” Glycoconj J 21(1-2): 47-52.","[""https://link.springer.com/article/10.1023/B:GLYC.0000043747.87325.5e""]"
377,Sulfur code,The Sulfur Code,"Shim, H. S. and V. D. Longo (2015). “A protein restriction-dependent sulfur code for longevity.” Cell 160(1-2): 15-17. Azam, F., Anwar, M. J., Kahfi, J., Almahmoud, S. A., & Emwas, A.-H. (2025). Cracking the Sulfur Code: Garlic Bioactive Molecules as Multi-Target Blueprints for Drug Discovery. Pharmaceuticals, 18(11), 1766.","[""https://www.cell.com/cell/fulltext/S0092-8674(14)01633-X"", ""https://www.mdpi.com/1424-8247/18/11/1766"", ""https://www.molcells.org/journal/view.html?year=2006&volume=22&number=3&spage=247""]"
378,SUMO code,The SUMOylation Codes,"Kim, K. I. and S. H. Baek (2006). ""SUMOylation code in cancer development and metastasis."" Mol Cells 22(3): 247-253. Yang, Z., Y. Zhang and S. Sun (2019). ""Deciphering the SUMO code in the kidney."" J Cell Mol Med 23(2): 711-719.","[""https://doi.org/10.1088/1478-3975/10/6/065007"", ""https://www.molcells.org/journal/view.html?year=2006&volume=22&number=3&spage=247""]"
379,Surface code,The Cell Surface Codes,"Biermann, M., Maueröder, C., Brauner, J. M., Chaurio, R., Janko, C., Herrmann, M., & Muñoz, L. E. (2013). Surface code—biophysical signals for apoptotic cell clearance. Physical Biology, 10(6), 065007. Xie, Q., J. Li, H. Li, N. D. Udeshi, T. Svinkina, D. Orlin, S. Kohani, R. Guajardo, D. R. Mani, C. Xu, T. Li, S. Han, W. Wei, S. A. Shuster, D. J. Luginbuhl, S. R. Quake, S. E. Murthy, A. Y. Ting, S. A. Carr and L. Luo","[""https://doi.org/10.1088/1478-3975/10/6/065007"", ""https://www.cell.com/neuron/fulltext/S0896-6273(22)00403-2""]"
380,Survival code,The Survival/Autophagy Codes,"Füllgrabe, J., N. Heldring, O. Hermanson and B. Joseph (2014). “Cracking the survival code: autophagy-related histone modifications.” Autophagy 10(4): 556-561. Mengying Yu, Zhao Peng, Zhichuan Huang et al. (2026) Metabolic Reprogramming by Lactate Unlocks a Pro-Survival Code in MSCs: The miR-195-3p/Oct4/VEGF Axis in Heart Repair, 25 March 2026, PREPRINT (Version 1) available at Research Square Liu, X., & Ma, Y. (2026). Genomic insights into the survival code of karst plants. Plant Diversity, 48(2), 227-230.","[""https://doi.org/10.1016/j.pld.2026.02.006"", ""https://doi.org/10.21203/rs.3.rs-8443063/v1"", ""https://www.sciencedirect.com/science/article/pii/S0012160696903152"", ""https://www.tandfonline.com/doi/full/10.4161/auto.27280""]"
381,Synaptic code,The Synaptic / Adhesive Code,"Redies, C. and M. Takeichi (1996). ""Cadherins in the developing central nervous system: an adhesive code for segmental and functional subdivisions."" Dev Biol 180(2): 413-423. Shapiro, L. and D. R. Colman (1999). “The diversity of cadherins and implications for a synaptic adhesive code in the CNS.” Neuron 23(3): 427-430. Boudkkazi, S., E. Carlier, N. Ankri, O. Caillard, P. Giraud, L. Fronzaroli-Molinieres and D. Debanne (2007). ""Release-dependent variations in synaptic latency: a putative code for short- and long-term synaptic dynamics."" Neuron 56(6): 1048-1060. Berretta, N., R. Nisticò, G. Bernardi and N. B. Mercuri (2008). ""Synaptic plasticity in the basal ganglia: a similar code for physiological and pathological conditions."" Prog Neurobiol 84(4): 343-362. Itzkovitz, S., L. Baruch, E. Shapiro and E. Segal (2008). “Geometric constraints on neuronal connectivity facilitate a concise synaptic adhesive code.” Proc Natl Acad Sci U S A 105(27): 9278- 9283. Szabo, G. G. and I. Soltesz (2015). “Pass-Through Code of Synaptic Integration.” Neuron 87(6): 1124- 1126. Südhof, T. C. (2017). ""Synaptic Neurexin Complexes: A Molecular Code for the Logic of Neural Circuits."" Cell 171(4): 745-769.","[""https://www.cell.com/cell/fulltext/S0092-8674(17)31246-1"", ""https://www.cell.com/neuron/fulltext/S0896-6273(00)80796-5"", ""https://www.cell.com/neuron/fulltext/S0896-6273(07)00863-X"", ""https://www.cell.com/neuron/fulltext/S0896-6273(15)00763-1"", ""https://www.pnas.org/doi/10.1073/pnas.0712207105"", ""https://www.sciencedirect.com/science/article/pii/S0012160696903152"", ""https://www.sciencedirect.com/science/article/pii/S0301008207002298""]"
382,TAD code,The TAD domain code,"Chang, L.-H., Ghosh, S., Papale, A., Miranda, M., Piras, V., Degrouard, J., . . . Noordermeer, D. (2021). A complex CTCF binding code defines TAD boundary structure and function. bioRxiv, 2021.2004.2015.440007. Huang, H., & Wu, Q. (2024). Pushing the TAD boundary: Decoding insulator codes of clustered CTCF sites in 3D genomes. Bioessays, 46(10), 2400121.","[""https://doi.org/10.1101/2021.04.15.440007"", ""https://doi.org/https:/doi.org/10.1002/bies.202400121"", ""https://genome.cshlp.org/content/27/9/1501.long""]"
383,TALE code,The transcription activator- like effectors (TALE) code SEE also The HOX Code,"De Kumar, B., H. J. Parker, A. Paulson, M. E. Parrish, I. Pushel, N. P. Singh, Y. Zhang, B. D. Slaughter, J. R. Unruh, L. Florens, J. Zeitlinger and R. Krumlauf (2017). ""HOXA1 and TALE proteins display cross- regulatory interactions and form a combinatorial binding code on HOXA1 targets."" Genome Res 27(9): 1501-1512. Perez-Quintero, A. L., & Szurek, B. (2019). A Decade Decoded: Spies and Hackers in the History of TAL Effectors Research. Annu Rev Phytopathol, 57, 459-481. Mariani, L., Guo, X., Menezes, N. A., Drozd, A. M., Çakal, S. D., Wang, Q., & Ferretti, E. (2021). A TALE/HOX code unlocks WNT signalling response towards paraxial mesoderm. Nat Commun, 12(1), 5136.","[""https://doi.org/10.1038/s41467-021-25370-4"", ""https://genome.cshlp.org/content/27/9/1501.long"", ""https://www.annualreviews.org/content/journals/10.1146/annurev-phyto-082718-100026""]"
384,Targeting code,The (Genome) Targeting / Integration Codes,"Santoni, F. A., O. Hartley and J. Luban (2010). ""Deciphering the code for retroviral integration target site selection."" PLoS Comput Biol 6(11): e1001008.","[""https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1001008"", ""https://www.sciencedirect.com/science/article/abs/pii/S0031938400001918""]"
385,Taste code,The Neuronal Taste Code,"Di Lorenzo, P. M. (2000). “The neural code for taste in the brain stem: Response profiles.” Physiology & Behavior 69(1): 87-96. Di Lorenzo, P. M. and C. H. Lemon (2000). ""The neural code for taste in the nucleus of the solitary tract of the rat: effects of adaptation."" Brain Res 852(2): 383-397. Bradbury, J. (2004). “Taste perception: cracking the code.” PloS Biol 2(3): E64. Hallock, R. M. and P. M. Di Lorenzo (2006). “Temporal coding in the gustatory system.” Neurosci Biobehav Rev 30(8): 1145-1160. Escanilla, O. D., A. Hajnal, K. Czaja and P. M. Di Lorenzo (2022). “The Neural Code for Taste in the Nucleus of the Solitary Tract of Rats with Obesity Following Roux-En-Y Gastric Bypass Surgery.” Nutrients 14(19). Hellekant, G. (2024). Neuroscience of taste: unlocking the human taste code. BMC Neuroscience, 25(1), 19.","[""https://doi.org/10.1186/s12868-024-00847-2"", ""https://journals.aai.org/jimmunol/article/185/9/4969/83178/CRACking-the-Code-without-Rosetta-Molecular"", ""https://journals.plos.org/plosbiology/article?id=10.1371/journal.pbio.0020064"", ""https://linkinghub.elsevier.com/retrieve/pii/S0006-8993(99)02187-3"", ""https://pennstate.pure.elsevier.com/en/publications/the-neural-code-for-taste-in-the-nucleus-of-the-solitary-tract-of"", ""https://www.sciencedirect.com/science/article/abs/pii/S0031938400001918"", ""https://www.sciencedirect.com/science/article/abs/pii/S0149763406000741""]"
386,T-cell code,The Immune T-cell Codes,"Boothby, M. (2010). ""CRACking the code without Rosetta: molecular regulation of calcium-stimulated gene transcription after T cell activation."" J Immunol 185(9): 4969-4971. Engelhardt, B. and R. M. Ransohoff (2012). “Capture, crawl, cross: the T cell code to breach the blood–brain barriers.” Trends in Immunology 33(12): 579-589. Harvey, C. J. and K. W. Wucherpfennig (2013). “Cracking the code of human T-cell immunity.” Nature Biotechnology 31(7): 609-610. Dustin, M. L. and L. C. Kam (2016). ""Tapping out a mechanical code for T cell triggering."" J Cell Biol 213(5): 501-503. Wu, J. and H. Shi (2017). ""Unlocking the epigenetic code of T cell exhaustion."" Transl Cancer Res 6(Suppl 2): S384-s387.","[""https://journals.aai.org/jimmunol/article/185/9/4969/83178/CRACking-the-Code-without-Rosetta-Molecular"", ""https://rupress.org/jcb/article/213/5/501/38323/Tapping-out-a-mechanical-code-for-T-cell"", ""https://tcr.amegroups.com/article/view/12604/10753"", ""https://www.cell.com/trends/immunology/fulltext/S1471-4906(12)00126-3"", ""https://www.nature.com/articles/nbt.2626/""]"
387,Temporal codes,The Temporal Signalling Codes,"Ahissar, E. (1998). ""Temporal-code to rate-code conversion by neuronal phase-locked loops."" Neural Comput 10(3): 597-650. Behar, M. and A. Hoffmann (2010). “Understanding the temporal codes of intra-cellular signals.” Curr Opin Genet Dev 20(6): 684-693. Cheemalavagu, N. and R. A. Gottschalk (2021). ""Time will tell: The temporal code of immune threats."" Immunity 54(5): 845-847. Cachero, S., Mitletton, M., Beckett, I. R., Marin, E. C., Serratosa Capdevila, L., Gkantia, M., . . . Donà, E. (2026). A Developmental Atlas of the Drosophila Nerve Cord Uncovers a Global Temporal Code for Neuronal Identity. bioRxiv, 2025.2007.2016.664682.","[""https://direct.mit.edu/neco/article-abstract/10/3/597/6154/Temporal-Code-to-Rate-Code-Conversion-by-Neuronal"", ""https://doi.org/10.1101/2025.07.16.664682"", ""https://genesdev.cshlp.org/content/39/1-2/163"", ""https://www.cell.com/immunity/fulltext/S1074-7613(21)00180-1"", ""https://www.sciencedirect.com/science/article/abs/pii/S0959437X10001668""]"
388,Tension code,The Tension (Morphogenesis) Code,"Narain, R., Muncie-Vasic, J. M., & Weaver, V. M. (2025). Forcing the code: tension modulates signaling to drive morphogenesis and malignancy. Genes Dev, 39(1-2), 163-181.","[""https://doi.org/https:/doi.org/10.1002/anie.201103110"", ""https://genesdev.cshlp.org/content/39/1-2/163""]"
389,Terpene code,The Terpene Biosynthesis Code,"Oldfield, E., & Lin, F.-Y. (2012). Terpene Biosynthesis: Modularity Rules. Angewandte Chemie International Edition, 51(5), 1124-1137. Ignea, C., M. H. Raadam, A. Koutsaviti, Y. Zhao, Y. T. Duan, M. Harizani, K. Miettinen, P. Georgantea, M. Rosenfeldt, S. E. Viejo-Ledesma, M. A. Petersen, W. L. P. Bredie, D. Staerk, V. Roussis, E. Ioannou and S. C. Kampranis (2022). ""Expanding the terpene biosynthetic code with non-canonical 16 carbon atom building blocks."" Nat Commun 13(1): 5188.","[""https://doi.org/https:/doi.org/10.1002/anie.201103110"", ""https://www.nature.com/articles/s41467-022-32921-w"", ""https://www.sciencedirect.com/science/article/abs/pii/0006899380900815""]"
390,Thermal code,The Thermal / Temperature Neuronal Codes,"Schingnitz, G. and J. Werner (1980). ""Thalamic burst firing--a neuronal code for temperature information."" Brain Res 195(2): 467-470. Nagel, M. and C. J. Kleineidam (2015). ""Two cold-sensitive neurons within one sensillum code for different parameters of the thermal environment in the ant Camponotus rufipes."" Front Behav Neurosci 9: 240.","[""https://doi.org/10.1210/en.2011-1104"", ""https://www.frontiersin.org/articles/10.3389/fnbeh.2015.00240/full"", ""https://www.sciencedirect.com/science/article/abs/pii/0006899380900815""]"
